[0.49890651+0.j 0.4999988 +0.j],[0.4999988 +0.j 0.50109349+0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.50109349+0.j -0.4999988 +0.j],[-0.4999988 +0.j  0.49890651+0.j]
[-0.5+0.00000000e+00j  0.5+1.96261557e-17j],[ 0.5-1.96261557e-17j -0.5+9.24446373e-33j]
