[0.48927866+0.j 0.49988504+0.j],[0.49988504+0.j 0.51072134+0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.51072134+0.j -0.49988504+0.j],[-0.49988504+0.j  0.48927866+0.j]
[-0.5+0.00000000e+00j  0.5-3.92523115e-17j],[ 0.5-1.96261557e-17j -0.5+5.88784672e-17j]
