[0.4900591 +0.j 0.49990117+0.j],[0.49990117+0.j 0.5099409 +0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.5099409 +0.j -0.49990117+0.j],[-0.49990117+0.j  0.4900591 +0.j]
[-0.5+0.00000000e+00j  0.5+1.96261557e-17j],[ 0.5+0.00000000e+00j -0.5-1.96261557e-17j]
