[0.48927528+0.j 0.49988497+0.j],[0.49988497+0.j 0.51072472+0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.51072472+0.j -0.49988497+0.j],[-0.49988497+0.j  0.48927528+0.j]
[-0.5+3.92523115e-17j  0.5+9.81307787e-17j],[ 0.5-5.88784672e-17j -0.5-7.85046229e-17j]
