[0.48853885+0.j 0.49986862+0.j],[0.49986862+0.j 0.51146115+0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.51146115+0.j -0.49986862+0.j],[-0.49986862+0.j  0.48853885+0.j]
[-0.5+0.00000000e+00j  0.5+1.96261557e-17j],[ 0.5+1.96261557e-17j -0.5-3.92523115e-17j]
