[0.49159217+0.j 0.4999293 +0.j],[0.4999293 +0.j 0.50840783+0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.50840783+0.j -0.4999293 +0.j],[-0.4999293 +0.j  0.49159217+0.j]
[-0.5+0.00000000e+00j  0.5+1.96261557e-17j],[ 0.5+0.00000000e+00j -0.5-1.96261557e-17j]
