[0.4862854 +0.j 0.49981187+0.j],[0.49981187+0.j 0.5137146 +0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.5137146 +0.j -0.49981187+0.j],[-0.49981187+0.j  0.4862854 +0.j]
[-0.5+0.00000000e+00j  0.5-3.92523115e-17j],[ 0.5+0.00000000e+00j -0.5+3.92523115e-17j]
