[0.49015677+0.j 0.4999031 +0.j],[0.4999031 +0.j 0.50984323+0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.50984323+0.j -0.4999031 +0.j],[-0.4999031 +0.j  0.49015677+0.j]
[-0.5+0.00000000e+00j  0.5+1.96261557e-17j],[ 0.5+3.92523115e-17j -0.5-5.88784672e-17j]
