[0.49021803+0.j 0.4999043 +0.j],[0.4999043 +0.j 0.50978197+0.j]
[-0.5+0.j  0.5+0.j],[ 0.5+0.j -0.5+0.j]
[ 0.50978197+0.j -0.4999043 +0.j],[-0.4999043 +0.j  0.49021803+0.j]
[-0.5-1.17756934e-16j  0.5-2.46519033e-32j],[ 0.5+1.96261557e-17j -0.5+9.81307787e-17j]
