[0.49836849+0.j 0.49999734+0.j],[0.49999734+0.j 0.50163151+0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.50163151+0.j -0.49999734+0.j],[-0.49999734+0.j  0.49836849+0.j]
[-0.5+0.00000000e+00j  0.5+1.96261557e-17j],[ 0.5+1.96261557e-17j -0.5-3.92523115e-17j]
