[0.49763734+0.j 0.49999442+0.j],[0.49999442+0.j 0.50236266+0.j]
[ 0.5+0.j -0.5+0.j],[-0.5+0.j  0.5+0.j]
[ 0.50236266+0.j -0.49999442+0.j],[-0.49999442+0.j  0.49763734+0.j]
[-0.5+3.92523115e-17j  0.5+7.85046229e-17j],[ 0.5-3.92523115e-17j -0.5-7.85046229e-17j]
