H2
k,3,num_states,2
,,FCI eigensolve,SVD,SVD eigensolve,optimization,optimization eigensolve
0.4,start,0.21397900581359863,0.21535706520080566,0.2913169860839844,0.0,1.3724510669708252
0.4,end,0.21490192413330078,0.2154388427734375,0.29192185401916504,0.0,1.3732099533081055
0.6000000000000001,start,1.6585769653320312,1.6595299243927002,1.7359719276428223,0.0,2.6715149879455566
0.6000000000000001,end,1.659240961074829,1.6595869064331055,1.7365598678588867,0.0,2.672118902206421
0.8000000000000002,start,2.9583959579467773,2.959244966506958,3.0373799800872803,0.0,4.076740980148315
0.8000000000000002,end,2.9589779376983643,2.959296941757202,3.0379838943481445,0.0,4.0773210525512695
1.0000000000000002,start,4.353327989578247,4.3542468547821045,4.430988073348999,0.0,5.762018918991089
1.0000000000000002,end,4.353899002075195,4.3543009757995605,4.431562900543213,0.0,5.762619972229004
1.2000000000000002,start,6.057110071182251,6.05787205696106,6.136005878448486,0.0,7.300302028656006
1.2000000000000002,end,6.0577168464660645,6.057927846908569,6.136602878570557,0.0,7.300889015197754
1.4000000000000004,start,7.575342893600464,7.57621693611145,7.653055906295776,0.0,8.781918048858643
1.4000000000000004,end,7.575927972793579,7.576272010803223,7.653656959533691,0.0,8.78248405456543
1.6000000000000005,start,9.066066026687622,9.066969871520996,9.145973920822144,0.0,10.299453020095825
1.6000000000000005,end,9.066663026809692,9.067028045654297,9.146610021591187,0.0,10.300024032592773
1.8000000000000003,start,10.581034898757935,10.582058906555176,10.658500909805298,0.0,11.678506851196289
1.8000000000000003,end,10.581717014312744,10.582118034362793,10.659071922302246,0.0,11.679115056991577
2.0000000000000004,start,11.963768005371094,11.964648008346558,12.041745901107788,0.0,13.217669010162354
2.0000000000000004,end,11.964364051818848,11.964704990386963,12.042358875274658,0.0,13.218242883682251
2.2000000000000006,start,13.497786045074463,13.49866795539856,13.575499057769775,0.0,14.667562007904053
2.2000000000000006,end,13.49837589263916,13.498723030090332,13.576092004776001,0.0,14.668185949325562
2.400000000000001,start,14.954936981201172,14.955846071243286,15.032624959945679,0.0,16.094923973083496
2.400000000000001,end,14.955528974533081,14.955904006958008,15.033215999603271,0.0,16.095502853393555
2.6000000000000005,start,16.386220932006836,16.38725185394287,16.465247869491577,0.0,17.644122838974
2.6000000000000005,end,16.38685703277588,16.38734006881714,16.465826988220215,0.0,17.644701957702637
2.8000000000000007,start,17.93527388572693,17.936147928237915,18.01476788520813,0.0,19.04838991165161
2.8000000000000007,end,17.935888051986694,17.936205863952637,18.01537585258484,0.0,19.04899001121521
3.000000000000001,start,19.330837965011597,19.331735849380493,19.408455848693848,0.0,20.505105018615723
3.000000000000001,end,19.331429958343506,19.33178997039795,19.409045934677124,0.0,20.50568985939026
3.2000000000000006,start,20.79619002342224,20.797168016433716,20.873729944229126,0.0,22.037240982055664
3.2000000000000006,end,20.796802043914795,20.79722499847412,20.874340057373047,0.0,22.037842988967896
3.400000000000001,start,22.328891038894653,22.32970905303955,22.40676188468933,0.0,23.579540967941284
3.400000000000001,end,22.329479932785034,22.329763889312744,22.407363891601562,0.0,23.58012294769287
3.600000000000001,start,23.863077878952026,23.86400604248047,23.946465969085693,0.0,25.116001844406128
3.600000000000001,end,23.863669872283936,23.86406397819519,23.94708490371704,0.0,25.11657190322876
3.800000000000001,start,25.401742935180664,25.402679920196533,25.480201959609985,0.0,26.93747591972351
3.800000000000001,end,25.402334928512573,25.402734994888306,25.480792999267578,0.0,26.938199043273926
total time,27.12585186958313
