H2
k,1,num_states,2
,,FCI eigensolve,SVD,SVD eigensolve,optimization,optimization eigensolve
0.4,start,0.22955012321472168,0.23075318336486816,0.3036530017852783,0.0,0.4273250102996826
0.4,end,0.23049616813659668,0.23082304000854492,0.30425000190734863,0.0,0.4278981685638428
0.6000000000000001,start,0.7697501182556152,0.7706990242004395,0.8438529968261719,0.0,0.9659051895141602
0.6000000000000001,end,0.7703511714935303,0.7707531452178955,0.8444139957427979,0.0,0.9665000438690186
0.8000000000000002,start,1.27046799659729,1.271407127380371,1.3447210788726807,0.0,1.4658710956573486
0.8000000000000002,end,1.2710850238800049,1.27146315574646,1.3452880382537842,0.0,1.4664430618286133
1.0000000000000002,start,1.765139102935791,1.7660560607910156,1.8407111167907715,0.0,1.964426040649414
1.0000000000000002,end,1.765740156173706,1.7661101818084717,1.8413000106811523,0.0,1.965015172958374
1.2000000000000002,start,2.2619290351867676,2.2627789974212646,2.3368000984191895,0.0,2.4544870853424072
1.2000000000000002,end,2.2625269889831543,2.26283597946167,2.337393045425415,0.0,2.4550681114196777
1.4000000000000004,start,2.738718032836914,2.7396299839019775,2.8125691413879395,0.0,2.9335169792175293
1.4000000000000004,end,2.739320993423462,2.739691972732544,2.8131580352783203,0.0,2.9340760707855225
1.6000000000000005,start,3.2269930839538574,3.2279670238494873,3.3010711669921875,0.0,3.4231810569763184
1.6000000000000005,end,3.2276010513305664,3.2280220985412598,3.301650047302246,0.0,3.4239790439605713
1.8000000000000003,start,3.7300941944122314,3.731027126312256,3.804150104522705,0.0,3.9212911128997803
1.8000000000000003,end,3.7307090759277344,3.7310822010040283,3.8047401905059814,0.0,3.9218571186065674
2.0000000000000004,start,4.208384990692139,4.209467172622681,4.283481121063232,0.0,4.408053159713745
2.0000000000000004,end,4.20903205871582,4.209524154663086,4.284062147140503,0.0,4.408630132675171
2.2000000000000006,start,4.700775146484375,4.701771020889282,4.778215169906616,0.0,4.898684024810791
2.2000000000000006,end,4.701385021209717,4.701833009719849,4.77945613861084,0.0,4.899289131164551
2.400000000000001,start,5.200867176055908,5.201832056045532,5.276135206222534,0.0,5.388689994812012
2.400000000000001,end,5.20146107673645,5.201888084411621,5.276729106903076,0.0,5.389258146286011
2.6000000000000005,start,5.699128150939941,5.699894189834595,5.774726152420044,0.0,5.883619070053101
2.6000000000000005,end,5.699738025665283,5.699977159500122,5.775329113006592,0.0,5.8841869831085205
2.8000000000000007,start,6.205996990203857,6.207601070404053,6.283234119415283,0.0,6.394972085952759
2.8000000000000007,end,6.206886053085327,6.207759141921997,6.28382420539856,0.0,6.395569086074829
3.000000000000001,start,6.701632022857666,6.702597141265869,6.779211044311523,0.0,6.8910791873931885
3.000000000000001,end,6.702261209487915,6.702660083770752,6.779810190200806,0.0,6.891679048538208
3.2000000000000006,start,7.2042319774627686,7.205219030380249,7.279880046844482,0.0,7.388099193572998
3.2000000000000006,end,7.204877138137817,7.205276012420654,7.280465126037598,0.0,7.388669013977051
3.400000000000001,start,7.685328006744385,7.686360120773315,7.762272119522095,0.0,7.865441083908081
3.400000000000001,end,7.685997009277344,7.686417102813721,7.762888193130493,0.0,7.8660361766815186
3.600000000000001,start,8.161285161972046,8.16220998764038,8.237380027770996,0.0,8.335824012756348
3.600000000000001,end,8.1618812084198,8.16226601600647,8.238007068634033,0.0,8.33639407157898
3.800000000000001,start,8.628100156784058,8.629043102264404,8.702136039733887,0.0,8.801084995269775
3.800000000000001,end,8.62869906425476,8.629099130630493,8.70271897315979,0.0,8.801671981811523
total time,8.993720054626465
