H2
k,3,num_states,2
,,FCI eigensolve,SVD,SVD eigensolve,optimization,optimization eigensolve
0.4,start,0.21003198623657227,0.2113790512084961,0.28811192512512207,0.0,2.38065505027771
0.4,end,0.21097302436828613,0.21146488189697266,0.2887129783630371,0.0,2.3812599182128906
0.6000000000000001,start,2.660244941711426,2.661139965057373,2.737433910369873,0.0,6.224391937255859
0.6000000000000001,end,2.6608378887176514,2.6611928939819336,2.738003969192505,0.0,6.224967956542969
0.8000000000000002,start,6.508399963378906,6.509198904037476,6.58688497543335,0.0,10.398536920547485
0.8000000000000002,end,6.508979082107544,6.509258031845093,6.587506055831909,0.0,10.399133920669556
1.0000000000000002,start,10.69863486289978,10.699398040771484,10.777616024017334,0.0,14.722838878631592
1.0000000000000002,end,10.69922399520874,10.699450016021729,10.778194904327393,0.0,14.723401069641113
1.2000000000000002,start,14.996851921081543,14.997750997543335,15.074517965316772,0.0,17.027729988098145
1.2000000000000002,end,14.997448921203613,14.99780797958374,15.075088024139404,0.0,17.028312921524048
1.4000000000000004,start,17.31239604949951,17.313276052474976,17.39040207862854,0.0,20.395724058151245
1.4000000000000004,end,17.312984943389893,17.31332802772522,17.3909969329834,0.0,20.396313905715942
1.6000000000000005,start,20.684514045715332,20.685415983200073,20.764217853546143,0.0,24.560160875320435
1.6000000000000005,end,20.68512988090515,20.68547296524048,20.764811038970947,0.0,24.560744047164917
1.8000000000000003,start,24.870840072631836,24.87173295021057,24.948800086975098,0.0,26.81096386909485
1.8000000000000003,end,24.871427059173584,24.871785879135132,24.94936203956604,0.0,26.811532020568848
2.0000000000000004,start,27.0883309841156,27.089218854904175,27.166603088378906,0.0,29.43833088874817
2.0000000000000004,end,27.08891487121582,27.089272022247314,27.167206048965454,0.0,29.43889594078064
2.2000000000000006,start,29.716243028640747,29.7171630859375,29.79409694671631,0.0,33.53124499320984
2.2000000000000006,end,29.71684503555298,29.71722102165222,29.79467797279358,0.0,33.53182792663574
2.400000000000001,start,33.82086992263794,33.821775913238525,33.900310039520264,0.0,37.18276405334473
2.400000000000001,end,33.82145690917969,33.821831941604614,33.90092492103577,0.0,37.18333601951599
2.6000000000000005,start,37.46672296524048,37.467609882354736,37.544333934783936,0.0,41.38487005233765
2.6000000000000005,end,37.467297077178955,37.46766400337219,37.54491090774536,0.0,41.38545298576355
2.8000000000000007,start,41.67100501060486,41.671936988830566,41.7493999004364,0.0,45.62768197059631
2.8000000000000007,end,41.67160391807556,41.671998023986816,41.74998688697815,0.0,45.628257036209106
3.000000000000001,start,45.91368389129639,45.9146089553833,45.99212908744812,0.0,49.75404095649719
3.000000000000001,end,45.91426086425781,45.91466498374939,45.99270796775818,0.0,49.75467491149902
3.2000000000000006,start,50.04731488227844,50.04823088645935,50.12533688545227,0.0,53.891597032547
3.2000000000000006,end,50.047926902770996,50.04828691482544,50.125935077667236,0.0,53.89218592643738
3.400000000000001,start,54.17979598045349,54.180567026138306,54.258898973464966,0.0,58.009084939956665
3.400000000000001,end,54.180387020111084,54.180619955062866,54.25948691368103,0.0,58.00965189933777
3.600000000000001,start,58.293379068374634,58.29431200027466,58.37142086029053,0.0,61.41397786140442
3.600000000000001,end,58.29396605491638,58.294365882873535,58.37200307846069,0.0,61.41455388069153
3.800000000000001,start,61.708961963653564,61.709781885147095,61.78746294975281,0.0,66.50680208206177
3.800000000000001,end,61.70955300331116,61.709837913513184,61.78804898262024,0.0,66.50737500190735
total time,66.69122195243835
